"KO","name","definition"
"K00016","L-lactate dehydrogenase [EC:1.1.1.27]",NA
"K00128","aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]",NA
"K00162","pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]",NA
"K00558","DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]",NA
"K01069","hydroxyacylglutathione hydrolase [EC:3.1.2.6]",NA
"K01468","imidazolonepropionase [EC:3.5.2.7]",NA
"K01479","formiminoglutamase [EC:3.5.3.8]",NA
"K01667","tryptophanase [EC:4.1.99.1]",NA
"K01712","urocanate hydratase [EC:4.2.1.49]",NA
"K01745","histidine ammonia-lyase [EC:4.3.1.3]",NA
"K01758","cystathionine gamma-lyase [EC:4.4.1.1]",NA
"K02041","phosphonate transport system ATP-binding protein [EC:7.3.2.2]",NA
"K02042","phosphonate transport system permease protein",NA
"K02044","phosphonate transport system substrate-binding protein",NA
"K02121","V/A-type H+/Na+-transporting ATPase subunit E",NA
"K02435","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]",NA
"K03105","signal recognition particle subunit SRP19",NA
"K03315","Na+:H+ antiporter, NhaC family",NA
"K03465","thymidylate synthase (FAD) [EC:2.1.1.148]",NA
"K03601","exodeoxyribonuclease VII large subunit [EC:3.1.11.6]",NA
"K03785","3-dehydroquinate dehydratase I [EC:4.2.1.10]",NA
"K04641","bacteriorhodopsin",NA
"K07018","uncharacterized protein",NA
"K07163","uncharacterized protein",NA
"K07398","conserved protein with predicted RNA binding PUA domain",NA
"K08260","adenosylcobinamide hydrolase [EC:3.5.1.90]",NA
"K09125","queuosine precursor transporter",NA
"K12368","dipeptide transport system substrate-binding protein",NA
"K12370","dipeptide transport system permease protein",NA
"K13075","N-acyl homoserine lactone hydrolase [EC:3.1.1.81]",NA
"K14445","solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2/3/5",NA
"K16937","thiosulfate dehydrogenase (quinone) large subunit [EC:1.8.5.2]",NA
"K19712","adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.7.62]",NA
"K23316","chemotactic signal transduction system substrate-binding protein CosB",NA
"K23348","HTH-type transcriptional regulator, dimethyl sulfoxide reductase transcription regulator",NA
"K23684","dolichol-phosphate hexosyltransferase [EC:2.4.1.-]",NA
"K24719","smc-like protein Sph1",NA
"K24866","precorrin-2 dehydrogenase [EC:1.3.1.76]",NA
"K28135","chromosomal protein MC1",NA
"K28349","cell division protein A",NA
"K28350","cell division protein B",NA
